,location,BHK,total_sqft,bath,price,encoded_loc
1749,others,2,1256.0,2.0,60.0,230
1750,7th Phase JP Nagar,2,1100.0,2.0,44.0,6
1751,TC Palaya,4,4800.0,3.0,302.0,207
1752,Kothanur,3,1435.0,3.0,70.0,146
1753,6th Phase JP Nagar,4,3245.0,4.0,250.0,5
1754,Sarjapur  Road,3,1845.0,4.0,110.0,194
1755,Jigani,3,2400.0,4.0,130.0,113
1756,Ulsoor,2,1200.0,2.0,60.0,215
1757,Talaghattapura,3,2254.0,3.0,170.0,208
1758,others,2,1020.0,2.0,37.0,230
1759,Bommanahalli,1,515.0,1.0,25.0,47
1760,Lingadheeranahalli,3,1893.0,3.0,140.0,154
1761,others,2,830.0,2.0,34.0,230
1762,Singasandra,2,600.0,2.0,36.5,201
1763,Bisuvanahalli,3,1075.0,2.0,90.0,46
1764,Kasavanhalli,2,1200.0,2.0,78.0,130
1765,Sarjapur  Road,2,1233.0,2.0,77.65,194
1766,Bannerghatta Road,2,1255.0,2.0,65.26,34
1767,Begur Road,2,1200.0,2.0,37.8,39
1768,Varthur,3,2145.0,3.0,175.0,217
1769,1st Phase JP Nagar,5,1500.0,5.0,85.0,1
1770,Kothannur,2,740.0,2.0,34.0,145
1771,Kengeri,3,1250.0,3.0,48.0,135
1772,others,2,1210.0,2.0,40.0,230
1773,Sarjapur  Road,3,1525.0,2.0,60.0,194
1774,Kogilu,1,540.0,1.0,36.0,142
1775,Tumkur Road,3,1240.0,2.0,84.0,214
1776,Subramanyapura,3,1245.0,2.0,68.0,205
1777,Hosa Road,2,1104.0,2.0,36.43,101
1778,Bisuvanahalli,3,1075.0,2.0,35.99,46
1779,Whitefield,2,1155.0,2.0,60.0,224
1780,others,2,1520.0,2.0,62.0,230
1781,Thigalarapalya,4,3122.0,6.0,245.0,210
1782,Harlur,2,1290.0,2.0,85.0,91
1783,others,3,2300.0,3.0,80.0,230
1784,Kannamangala,4,3000.0,4.0,200.0,128
1785,others,1,400.0,1.0,14.0,230
1786,Banashankari,3,1340.0,2.0,53.6,26
1787,Hennur Road,2,987.0,2.0,49.0,96
1788,Old Madras Road,3,1720.0,3.0,100.0,177
1789,Hebbal,2,1040.0,2.0,50.0,92
1790,Anandapura,2,900.0,2.0,64.0,15
1791,Raja Rajeshwari Nagar,2,1030.0,2.0,50.0,184
1792,Neeladri Nagar,3,2556.0,3.0,133.0,173
1793,Balagere,2,1028.0,2.0,31.86,25
1794,7th Phase JP Nagar,2,1270.0,2.0,83.0,6
1795,Sahakara Nagar,3,1655.0,3.0,115.0,190
1796,Electronics City Phase 1,2,940.0,2.0,40.0,76
1797,Domlur,2,1050.0,2.0,85.0,71
1798,others,2,946.0,2.0,38.0,230
1799,Vittasandra,2,1404.0,2.0,75.0,223
1800,Sarjapur,3,1525.0,2.0,48.0,193
1801,Kengeri,2,1025.0,2.0,57.0,135
1802,others,2,860.0,1.0,43.0,230
1803,Talaghattapura,3,1223.0,2.0,42.81,208
1804,Kothannur,2,1197.0,2.0,47.8,145
1805,Garudachar Palya,2,1150.0,2.0,52.75,79
1806,R.T. Nagar,2,1040.0,2.0,46.0,182
1807,Banashankari,2,1310.0,2.0,80.0,26
1808,Uttarahalli,3,1788.0,3.0,98.34,216
1809,Raja Rajeshwari Nagar,2,1144.0,2.0,38.55,184
1810,Anjanapura,2,1070.0,2.0,39.0,18
1811,others,2,1200.0,2.0,70.0,230
1812,Ambedkar Nagar,3,1862.0,3.0,120.0,13
1813,Margondanahalli,2,1200.0,2.0,58.5,162
1814,Kasavanhalli,3,1646.0,3.0,79.5,130
1815,Sarjapur  Road,4,4395.0,4.0,242.0,194
1816,Iblur Village,3,1995.0,3.0,135.0,107
1817,Hosakerehalli,2,1085.0,2.0,47.74,102
1818,Budigere,2,1139.0,2.0,56.8,52
1819,Haralur Road,2,1092.0,2.0,44.0,90
1820,others,3,1767.0,3.0,98.0,230
1821,others,3,1700.0,3.0,80.0,230
1822,Bellandur,3,1692.0,3.0,88.0,40
1823,6th Phase JP Nagar,3,1645.0,3.0,100.0,5
1824,Uttarahalli,3,1345.0,2.0,57.0,216
1825,Gollarapalya Hosahalli,3,1408.0,3.0,62.0,81
1826,Thigalarapalya,3,2072.0,4.0,150.0,210
1827,Electronics City Phase 1,3,2040.0,3.0,137.0,76
1828,Sarjapur  Road,3,1220.0,3.0,56.0,194
1829,others,2,1300.0,2.0,79.0,230
1830,Electronics City Phase 1,2,1150.0,2.0,39.0,76
1831,KR Puram,2,1470.0,2.0,86.0,115
1832,Hosa Road,2,1063.0,2.0,31.9,101
1833,others,2,1311.0,2.0,48.0,230
1834,others,3,1400.0,2.0,55.0,230
1835,Vidyaranyapura,2,1060.0,2.0,55.0,219
1836,Sector 7 HSR Layout,3,1760.0,3.0,145.0,197
1837,Whitefield,3,2010.0,3.0,92.0,224
1838,Kanakpura Road,3,1480.0,2.0,64.23,127
1839,8th Phase JP Nagar,3,1230.0,2.0,43.5,7
1840,Gottigere,3,1300.0,3.0,65.0,82
1841,Frazer Town,4,4850.0,6.0,385.0,77
1842,Singasandra,2,1100.0,2.0,52.0,201
1843,Harlur,3,1752.12,3.0,116.0,91
1844,Marathahalli,2,957.0,2.0,46.9,161
1845,Balagere,1,790.5,1.0,41.9,25
1846,others,3,1942.0,3.0,102.0,230
1847,others,2,1000.0,2.0,53.0,230
1848,Yeshwanthpur,1,668.0,1.0,36.85,229
1849,Uttarahalli,2,1089.0,2.0,43.55,216
1850,Thanisandra,3,1800.0,3.0,90.0,209
1851,Yelahanka,2,1036.0,2.0,39.35,226
1852,Marathahalli,3,1583.0,3.0,105.0,161
1853,7th Phase JP Nagar,4,3300.0,4.0,150.0,6
1854,Padmanabhanagar,2,1100.0,2.0,65.0,178
1855,Vittasandra,2,1246.0,2.0,65.0,223
1856,Dodda Nekkundi,2,850.0,2.0,28.0,67
1857,Raja Rajeshwari Nagar,2,1196.0,2.0,51.51,184
1858,Thanisandra,3,1697.0,3.0,114.0,209
1859,TC Palaya,2,1000.0,2.0,64.0,207
1860,HRBR Layout,3,1567.0,3.0,90.0,88
1861,Sarjapur  Road,4,3750.0,6.0,290.0,194
1862,others,2,950.0,2.0,45.0,230
1863,others,2,1022.0,2.0,52.0,230
1864,Bharathi Nagar,2,1322.0,2.0,68.0,42
1865,others,4,1800.0,4.0,145.0,230
1866,Doddakallasandra,3,1460.0,2.0,58.39,69
1867,others,2,990.0,2.0,44.55,230
1868,Whitefield,3,1635.0,2.0,85.0,224
1869,Padmanabhanagar,4,3400.0,3.0,210.0,178
1870,EPIP Zone,4,3035.0,5.0,200.0,73
1871,others,3,1533.0,3.0,85.0,230
1872,Akshaya Nagar,3,1720.0,3.0,134.0,11
1873,Yeshwanthpur,2,1185.0,2.0,75.84,229
1874,Varthur Road,2,900.0,2.0,27.0,218
1875,Electronic City Phase II,2,1031.0,2.0,56.35,75
1876,Hennur,2,1259.0,2.0,57.0,95
1877,Raja Rajeshwari Nagar,3,1570.0,3.0,88.0,184
1878,Whitefield,2,1216.0,2.0,79.0,224
1879,Sarjapur  Road,3,1428.0,2.0,66.0,194
1880,Begur Road,2,1160.0,2.0,40.59,39
1881,others,3,1475.0,3.0,70.0,230
1882,Harlur,3,1754.0,3.0,135.0,91
1883,Rayasandra,3,1639.0,3.0,83.0,189
1884,Hennur Road,3,1804.0,3.0,102.0,96
1885,Whitefield,3,1200.0,3.0,56.2,224
1886,others,2,1135.0,2.0,55.0,230
1887,Begur Road,2,1260.0,2.0,46.62,39
1888,Hennur Road,3,2160.0,3.0,160.0,96
1889,Rachenahalli,2,1220.0,2.0,59.5,183
1890,Margondanahalli,2,1200.0,2.0,67.0,162
1891,Yelahanka,2,1300.0,2.0,65.0,226
1892,Cox Town,1,605.0,1.0,29.0,62
1893,Bhoganhalli,2,1444.0,2.0,75.97,43
1894,Amruthahalli,2,924.0,2.0,45.0,14
1895,Kaikondrahalli,2,1000.0,2.0,30.0,120
1896,Bisuvanahalli,2,845.0,2.0,29.0,46
1897,Kanakpura Road,2,700.0,2.0,35.0,127
1898,Kothanur,2,1187.0,2.0,58.0,146
1899,Kaggadasapura,3,1625.0,3.0,55.0,118
1900,Devarachikkanahalli,2,1200.0,2.0,83.0,66
1901,others,2,1452.55,2.0,110.0,230
1902,others,3,2357.0,3.0,151.0,230
1903,Kaval Byrasandra,2,1200.0,2.0,49.5,133
1904,Budigere,2,1139.0,2.0,56.85,52
1905,Kanakpura Road,3,1660.0,3.0,75.0,127
1906,Somasundara Palya,2,1448.0,2.0,68.0,202
1907,Kadugodi,3,1762.0,3.0,110.0,117
1908,Kaggadasapura,2,1105.0,2.0,38.65,118
1909,Yelahanka,3,1825.0,3.0,105.0,226
1910,Thanisandra,2,1185.0,2.0,43.0,209
1911,Electronic City Phase II,3,1320.0,2.0,38.12,75
1912,Hulimavu,2,1058.0,2.0,48.0,105
1913,Bellandur,2,1220.0,2.0,60.0,40
1914,Old Madras Road,2,1200.0,2.0,72.0,177
1915,Kengeri,3,1160.0,2.0,40.6,135
1916,others,3,1411.0,3.0,91.72,230
1917,Bannerghatta Road,3,1550.0,3.0,78.0,34
1918,Green Glen Layout,4,3250.0,4.0,230.0,83
1919,Haralur Road,3,2475.0,4.0,130.0,90
1920,Jakkur,4,3181.0,2.0,260.5,110
1921,7th Phase JP Nagar,4,2503.0,4.0,188.0,6
1922,Marathahalli,4,2524.0,5.0,190.0,161
1923,Kaggadasapura,2,1063.0,2.0,42.0,118
1924,Kanakpura Road,2,1077.0,2.0,37.7,127
1925,others,2,1200.0,3.0,44.0,230
1926,Hosakerehalli,4,1500.0,3.0,70.0,102
1927,Jalahalli,2,1045.0,2.0,76.77,111
1928,Kanakapura,3,1290.0,2.0,45.15,126
1929,Hoodi,2,1400.0,2.0,78.0,97
1930,Begur Road,3,1600.0,3.0,58.14,39
1931,Nagavara,3,1545.0,2.0,58.0,171
1932,Sarjapur  Road,3,1680.0,3.0,112.0,194
1933,others,2,1350.0,2.0,67.5,230
1934,Gottigere,2,950.0,2.0,38.0,82
1935,Thanisandra,2,1050.0,2.0,45.0,209
1936,Banashankari Stage V,3,1305.0,2.0,49.0,29
1937,Kodichikkanahalli,5,2700.0,7.0,125.0,138
1938,others,3,1100.0,3.0,78.0,230
1939,Thanisandra,6,3500.0,5.0,160.0,209
1940,Begur Road,3,1634.0,3.0,83.33,39
1941,Prithvi Layout,2,1352.0,2.0,85.0,181
1942,Balagere,2,1145.0,2.0,65.0,25
1943,others,2,1240.0,2.0,43.79,230
1944,Bommasandra Industrial Area,2,1020.0,2.0,39.0,49
1945,Raja Rajeshwari Nagar,2,1168.0,2.0,61.0,184
1946,Electronic City Phase II,2,1205.0,2.0,75.0,75
1947,Yeshwanthpur,2,1195.0,2.0,100.0,229
1948,CV Raman Nagar,2,1028.0,2.0,49.0,53
1949,others,2,1175.0,2.0,48.27,230
1950,Pai Layout,3,1550.0,2.0,90.0,179
1951,Hoodi,5,2400.0,5.0,160.0,97
1952,Yelahanka,3,1603.0,3.0,96.0,226
1953,Marathahalli,3,1350.0,3.0,72.0,161
1954,KR Puram,1,714.0,1.0,28.0,115
1955,Whitefield,2,1215.0,2.0,65.0,224
1956,Malleshpalya,3,1405.0,2.0,77.0,159
1957,KR Puram,2,1142.0,2.0,51.0,115
1958,others,4,4000.0,4.0,170.0,230
1959,Whitefield,3,1870.0,3.0,90.0,224
1960,Subramanyapura,2,1313.0,2.0,73.0,205
1961,others,3,1945.0,3.0,120.0,230
1962,Thanisandra,3,1573.0,3.0,95.0,209
1963,Sarjapur  Road,2,1255.0,2.0,92.0,194
1964,Benson Town,4,1400.0,3.0,91.15,41
1965,Kannamangala,2,1235.0,2.0,43.63,128
1966,Sarjapur  Road,3,1380.0,2.0,52.0,194
1967,others,3,1465.0,2.0,74.72,230
1968,Thigalarapalya,2,1418.0,2.0,103.0,210
1969,Anekal,1,351.0,1.0,16.0,17
1970,Uttarahalli,2,1279.0,2.0,48.0,216
1971,Uttarahalli,3,1845.0,2.0,68.27,216
1972,others,3,1360.0,2.0,59.27,230
1973,others,3,1150.0,2.0,75.0,230
1974,Whitefield,2,1260.0,2.0,49.5,224
1975,others,3,1200.0,3.0,74.0,230
1976,Dasanapura,2,965.0,2.0,42.5,63
1977,Hoodi,3,1350.0,2.0,48.0,97
1978,Bhoganhalli,2,1447.0,2.0,75.97,43
1979,others,3,1229.0,3.0,86.03,230
1980,Kudlu,2,1027.0,2.0,43.0,147
1981,Gottigere,2,1153.0,2.0,48.5,82
1982,Whitefield,4,2856.0,5.0,145.5,224
1983,Malleshpalya,2,1065.0,2.0,50.0,159
1984,others,2,1030.0,2.0,61.0,230
1985,Mallasandra,2,1340.0,2.0,61.0,158
1986,others,1,600.0,1.0,32.0,230
1987,Begur Road,3,1410.0,2.0,44.42,39
1988,Varthur,2,1055.0,2.0,45.35,217
1989,Yelahanka,2,1304.0,2.0,79.0,226
1990,Kammasandra,2,990.0,2.0,31.5,125
1991,7th Phase JP Nagar,2,1035.0,2.0,39.33,6
1992,Tumkur Road,1,700.0,1.0,30.09,214
1993,Sonnenahalli,2,1120.0,2.0,43.0,204
1994,Haralur Road,2,1300.0,2.0,73.0,90
1995,Tumkur Road,2,1239.0,2.0,82.0,214
1996,Hosa Road,2,1365.0,2.0,92.0,101
1997,Subramanyapura,3,1130.0,2.0,45.19,205
1998,Green Glen Layout,3,1776.42,3.0,105.0,83
1999,others,2,1107.0,2.0,33.0,230
2000,Nagavara,3,2319.0,3.0,180.0,171
2001,others,3,1520.0,3.0,80.0,230
2002,Kannamangala,3,1536.0,3.0,89.0,128
2003,others,4,3000.0,4.0,240.0,230
2004,others,2,1050.0,2.0,38.0,230
2005,Hoodi,3,1850.0,3.0,146.0,97
2006,Billekahalli,2,1112.0,2.0,62.0,44
2007,Marathahalli,3,1535.0,3.0,72.5,161
2008,Kanakpura Road,2,1050.0,2.0,35.0,127
2009,7th Phase JP Nagar,3,1250.0,3.0,65.0,6
2010,Kalena Agrahara,2,1187.0,2.0,52.0,121
2011,9th Phase JP Nagar,2,1164.0,2.0,56.0,8
2012,Electronic City Phase II,3,1395.0,2.0,62.78,75
2013,Arekere,3,2072.0,3.0,108.0,20
2014,Kanakpura Road,3,1450.0,3.0,60.91,127
2015,Bannerghatta Road,3,1550.0,3.0,82.0,34
2016,others,2,1315.0,2.0,90.0,230
2017,others,2,1210.0,2.0,72.0,230
2018,Bisuvanahalli,3,1075.0,2.0,47.0,46
2019,others,3,1215.0,3.0,42.2,230
2020,Kaggadasapura,3,1470.0,2.0,75.0,118
2021,others,4,30000.0,4.0,2100.0,230
2022,Hosur Road,3,1590.0,2.0,125.0,104
2023,Kanakpura Road,2,1050.0,2.0,36.75,127
2024,Raja Rajeshwari Nagar,2,1306.0,2.0,55.91,184
2025,others,3,1445.0,3.0,64.0,230
2026,Sarjapur  Road,3,1220.0,3.0,58.0,194
2027,Sarjapur,4,3190.0,3.0,160.0,193
2028,Ramagondanahalli,2,1215.0,2.0,51.26,187
2029,Budigere,3,1920.0,2.0,88.0,52
2030,Dodda Nekkundi,2,1390.0,2.0,60.0,67
2031,Hoodi,2,1196.0,2.0,71.74,97
2032,Bannerghatta Road,3,1550.0,2.0,75.0,34
2033,Thigalarapalya,2,1418.0,2.0,101.0,210
2034,Varthur Road,3,1655.0,3.0,115.0,218
2035,KR Puram,2,1115.0,2.0,33.45,115
2036,others,2,1170.0,2.0,68.0,230
2037,Anekal,2,1035.0,2.0,38.3,17
2038,Singasandra,3,1306.0,2.0,58.0,201
2039,Kengeri,2,750.0,2.0,22.0,135
2040,Thanisandra,3,1917.0,3.0,122.0,209
2041,Kaggadasapura,3,1615.0,3.0,58.0,118
2042,Marathahalli,2,1071.0,2.0,52.25,161
2043,5th Phase JP Nagar,3,1400.0,2.0,88.0,4
2044,Tumkur Road,2,1246.0,2.0,82.0,214
2045,Sarjapur,2,1215.0,2.0,40.0,193
2046,Munnekollal,2,1200.0,2.0,49.5,164
2047,Kodigehaali,2,1200.0,2.0,60.0,139
2048,Kaval Byrasandra,2,945.0,2.0,50.0,133
2049,Hormavu,2,1175.0,2.0,52.0,100
2050,Whitefield,2,920.0,2.0,63.0,224
2051,others,2,1600.0,2.0,110.0,230
2052,others,2,955.0,1.0,34.01,230
2053,Uttarahalli,3,1425.0,2.0,64.0,216
2054,Whitefield,2,1165.0,2.0,40.5,224
2055,Kaggadasapura,2,1050.0,2.0,48.0,118
2056,others,3,1370.0,2.0,75.0,230
2057,Electronic City,3,1374.0,2.0,72.0,74
2058,Harlur,3,1754.0,3.0,124.0,91
2059,Kothanur,3,1847.0,3.0,110.0,146
2060,Ambedkar Nagar,3,1850.0,4.0,139.0,13
2061,Chikka Tirupathi,3,3297.0,3.0,135.0,57
2062,others,2,1187.0,2.0,45.0,230
2063,Bommasandra Industrial Area,3,1400.0,2.0,40.44,49
2064,Doddaballapur,3,3000.0,2.0,120.0,68
2065,Thanisandra,1,693.0,1.0,34.3,209
2066,KR Puram,2,1021.0,2.0,48.0,115
2067,Thigalarapalya,2,1165.0,2.0,95.0,210
2068,Horamavu Agara,3,1756.0,3.0,92.0,98
2069,Bharathi Nagar,3,1739.0,3.0,105.0,42
2070,Varthur,2,1280.0,2.0,65.0,217
2071,Marathahalli,2,1215.0,2.0,58.86,161
2072,Munnekollal,2,950.0,2.0,46.5,164
2073,Kengeri,3,1082.0,2.0,49.0,135
2074,Devanahalli,2,1080.0,2.0,53.35,65
2075,Arekere,2,1100.0,2.0,55.0,20
2076,Ardendale,4,3200.0,4.0,205.0,19
2077,Sarjapur  Road,2,1311.0,2.0,78.0,194
2078,Raja Rajeshwari Nagar,3,1608.0,3.0,67.98,184
2079,Begur Road,2,1160.0,2.0,36.0,39
2080,Whitefield,2,1170.0,2.0,71.0,224
2081,Kengeri,2,1155.0,2.0,40.6,135
2082,Rayasandra,2,1065.0,2.0,44.95,189
2083,Neeladri Nagar,1,674.0,1.0,21.0,173
2084,Ambedkar Nagar,3,1936.0,4.0,126.0,13
2085,others,2,1100.0,2.0,38.45,230
2086,Ramagondanahalli,3,2257.0,4.0,157.0,187
2087,Nagarbhavi,2,1055.0,2.0,55.0,169
2088,Raja Rajeshwari Nagar,3,1530.0,3.0,51.87,184
2089,others,3,1700.0,3.0,97.0,230
2090,Raja Rajeshwari Nagar,3,1575.0,2.0,78.0,184
2091,Rajiv Nagar,2,1263.0,2.0,93.32,186
2092,KR Puram,3,1559.0,3.0,69.315,115
2093,Kengeri Satellite Town,2,1043.0,2.0,65.0,136
2094,Hennur,2,1255.0,2.0,53.5,95
2095,JP Nagar,2,1352.5,2.0,93.865,109
2096,Yelahanka,3,1550.0,3.0,120.0,226
2097,others,3,1360.0,3.0,55.0,230
2098,others,2,1100.0,2.0,75.0,230
2099,8th Phase JP Nagar,3,1455.0,3.0,73.31,7
2100,KR Puram,2,1035.0,2.0,40.5,115
2101,Harlur,2,1152.0,2.0,69.0,91
2102,Bellandur,2,1299.0,2.0,82.0,40
2103,Rachenahalli,2,1050.0,2.0,52.5,183
2104,Pai Layout,2,1050.0,2.0,40.0,179
2105,Vittasandra,2,1246.0,2.0,67.4,223
2106,others,3,1929.0,3.0,115.0,230
2107,Hennur,2,1285.0,2.0,60.0,95
2108,Margondanahalli,3,1200.0,2.0,65.0,162
2109,others,4,3161.0,4.0,214.0,230
2110,Sompura,3,1025.0,2.0,37.0,203
2111,Malleshwaram,2,1124.0,3.0,80.0,160
2112,Balagere,2,1012.0,2.0,54.59,25
2113,8th Phase JP Nagar,2,871.0,2.0,55.0,7
2114,others,2,1020.0,2.0,40.0,230
2115,Rachenahalli,3,1550.0,3.0,73.5,183
2116,Akshaya Nagar,3,1410.0,2.0,80.0,11
2117,Chikka Tirupathi,4,3500.0,5.0,150.0,57
2118,Whitefield,2,1118.0,2.0,75.0,224
2119,Thanisandra,2,1098.0,2.0,68.0,209
2120,Kanakapura,2,1130.0,2.0,45.2,126
2121,Sarjapur  Road,2,1145.0,2.0,75.0,194
2122,others,2,1051.0,2.0,33.0,230
2123,Marathahalli,2,1102.0,2.0,53.67,161
2124,Hebbal,2,823.0,2.0,50.63,92
2125,Abbigere,2,880.0,2.0,35.0,10
2126,Budigere,3,1991.0,4.0,100.0,52
2127,TC Palaya,3,1100.0,3.0,50.0,207
2128,Gubbalala,3,1745.0,3.0,115.0,84
2129,others,2,1100.0,2.0,70.0,230
2130,5th Phase JP Nagar,2,1450.0,2.0,58.0,4
2131,Singasandra,4,3366.0,4.0,120.0,201
2132,Sahakara Nagar,2,1150.0,2.0,54.0,190
2133,Bommanahalli,2,1090.0,3.0,44.0,47
2134,Kaggadasapura,2,1132.0,2.0,42.0,118
2135,Hulimavu,2,1375.0,2.0,80.0,105
2136,Thanisandra,1,760.0,1.0,50.3,209
2137,Kaggadasapura,2,1180.0,2.0,65.0,118
2138,Jigani,2,918.0,2.0,45.0,113
2139,Margondanahalli,2,1200.0,1.0,53.0,162
2140,Ardendale,3,1728.0,3.0,95.0,19
2141,BTM 2nd Stage,2,1200.0,2.0,80.0,22
2142,6th Phase JP Nagar,2,1280.0,2.0,56.0,5
2143,others,3,1455.0,2.0,56.0,230
2144,Rachenahalli,1,440.0,1.0,28.0,183
2145,Kanakpura Road,3,1500.0,3.0,97.0,127
2146,Whitefield,3,1800.0,3.0,110.0,224
2147,Mysore Road,3,1525.0,3.0,96.0,166
2148,Rachenahalli,2,1204.0,2.0,38.5,183
2149,Old Madras Road,2,1225.0,2.0,53.55,177
2150,Bannerghatta Road,3,1650.0,3.0,122.0,34
2151,others,4,4200.0,4.0,255.0,230
2152,others,2,1200.0,2.0,55.0,230
2153,9th Phase JP Nagar,2,1005.0,2.0,42.0,8
2154,Whitefield,3,1562.0,3.0,103.0,224
2155,Devanahalli,4,5000.0,5.0,395.0,65
2156,Ramamurthy Nagar,2,1200.0,2.0,42.0,188
2157,Kasavanhalli,3,1555.0,3.0,82.5,130
2158,KR Puram,2,1550.0,2.0,71.0,115
2159,Whitefield,2,1190.0,2.0,67.0,224
2160,Chikkalasandra,2,1070.0,2.0,50.0,59
2161,Jalahalli East,2,1020.0,2.0,42.48,112
2162,Yelahanka,3,1610.0,3.0,115.0,226
2163,others,1,700.0,1.0,41.0,230
2164,others,3,1300.0,2.0,49.0,230
2165,Hebbal,3,1069.0,3.0,65.4,92
2166,Marathahalli,3,1900.0,3.0,123.0,161
2167,Old Airport Road,2,1655.0,2.0,97.65,176
2168,Uttarahalli,2,1155.0,2.0,40.42,216
2169,Sarjapur  Road,3,1300.0,2.0,70.0,194
2170,Electronic City,2,1100.0,2.0,45.0,74
2171,Doddathoguru,2,1030.0,2.0,42.0,70
2172,Vittasandra,2,2105.0,2.0,70.2,223
2173,Bhoganhalli,3,1700.0,3.0,126.0,43
2174,Jakkur,3,1760.0,3.0,139.0,110
2175,others,2,1400.0,2.0,67.0,230
2176,others,2,1200.0,2.0,53.0,230
2177,Bannerghatta Road,2,912.0,2.0,55.0,34
2178,Whitefield,2,1102.0,2.0,48.0,224
2179,others,3,1535.0,3.0,55.0,230
2180,Jigani,2,918.0,2.0,63.2,113
2181,Begur Road,3,1500.0,2.0,70.0,39
2182,others,3,3000.0,3.0,250.0,230
2183,Kasavanhalli,3,1476.0,3.0,89.0,130
2184,Mysore Road,2,1200.0,2.0,65.0,166
2185,Vijayanagar,1,606.0,1.0,34.78,220
2186,others,2,1100.0,2.0,61.0,230
2187,Garudachar Palya,3,1295.0,2.0,59.5,79
2188,Neeladri Nagar,1,527.0,1.0,26.0,173
2189,OMBR Layout,2,1300.0,2.0,80.0,175
2190,others,1,1260.0,1.0,41.0,230
2191,Koramangala,2,1140.0,2.0,75.2,144
2192,Whitefield,3,2321.0,4.0,128.0,224
2193,Sarjapur  Road,2,1390.0,2.0,62.0,194
2194,Sarjapur  Road,3,1725.0,3.0,90.0,194
2195,Hennur Road,3,1186.0,2.0,63.0,96
2196,Kanakpura Road,2,1230.0,2.0,85.0,127
2197,Yeshwanthpur,3,1313.0,3.0,96.0,229
2198,Ambalipura,2,1250.0,2.0,66.25,12
2199,Binny Pete,1,660.0,1.0,54.0,45
2200,Old Madras Road,2,1100.0,2.0,70.0,177
2201,Electronics City Phase 1,2,1015.0,2.0,56.0,76
2202,Gottigere,1,812.0,1.0,26.0,82
2203,others,3,1360.0,2.0,65.0,230
2204,Nehru Nagar,3,2167.0,3.0,170.0,174
2205,Raja Rajeshwari Nagar,2,1200.0,2.0,35.0,184
2206,others,2,1165.0,2.0,75.0,230
2207,BTM 2nd Stage,2,1274.0,2.0,70.0,22
2208,Raja Rajeshwari Nagar,2,1151.0,2.0,39.02,184
2209,Thubarahalli,3,1626.0,2.0,120.0,211
2210,Banashankari Stage V,2,1035.0,2.0,35.77,29
2211,others,3,1272.0,4.0,75.0,230
2212,others,2,965.0,2.0,45.0,230
2213,Kothannur,2,1070.0,2.0,42.79,145
2214,Raja Rajeshwari Nagar,3,1570.0,2.0,65.0,184
2215,others,2,780.0,2.0,25.0,230
2216,others,3,1000.0,2.0,65.0,230
2217,5th Phase JP Nagar,3,1700.0,2.0,100.0,4
2218,Haralur Road,3,1850.0,3.0,110.0,90
2219,Kereguddadahalli,2,904.0,2.0,30.0,137
2220,others,2,1121.0,2.0,43.72,230
2221,7th Phase JP Nagar,3,1385.0,2.0,58.17,6
2222,Sahakara Nagar,2,1270.0,2.0,69.85,190
2223,Kanakpura Road,3,1450.0,3.0,56.0,127
2224,Mahadevpura,1,730.0,1.0,35.0,156
2225,Raja Rajeshwari Nagar,3,1580.0,3.0,53.56,184
2226,Thanisandra,2,1111.0,2.0,50.0,209
2227,Varthur,2,977.0,2.0,36.0,217
2228,others,2,674.0,1.0,19.9,230
2229,Sarjapur,4,2540.0,4.0,115.0,193
2230,Jakkur,2,1290.0,2.0,100.0,110
2231,Abbigere,2,795.0,2.0,32.54,10
2232,Kanakpura Road,2,700.0,1.0,35.0,127
2233,others,3,1306.0,2.0,58.0,230
2234,others,3,2401.0,3.0,185.0,230
2235,Bommenahalli,4,1670.0,3.0,135.0,50
2236,others,3,1200.0,3.0,90.0,230
2237,Dodda Nekkundi,3,1804.0,3.0,121.0,67
2238,Hoskote,3,1225.0,3.0,40.0,103
2239,Thanisandra,2,1185.5,2.0,58.68,209
2240,Bellandur,2,900.0,2.0,56.0,40
2241,Binny Pete,2,1350.0,2.0,91.0,45
2242,Kaggalipura,1,700.0,1.0,36.0,119
2243,Mysore Road,2,1005.0,2.0,35.175,166
2244,others,2,1160.0,2.0,46.39,230
2245,Hennur Road,3,1680.0,3.0,99.27,96
2246,LB Shastri Nagar,2,1043.0,2.0,55.0,151
2247,Hebbal,2,1040.0,2.0,46.0,92
2248,Tindlu,3,1357.0,2.0,65.0,213
2249,others,2,1225.0,2.0,47.0,230
2250,Yelachenahalli,2,1130.0,2.0,40.0,225
2251,Basavangudi,4,2500.0,4.0,150.0,35
2252,Sultan Palaya,3,1700.0,3.0,120.0,206
2253,Doddathoguru,3,1549.0,3.0,65.0,70
2254,Yeshwanthpur,2,1400.0,2.0,100.0,229
2255,Dodda Nekkundi,2,1080.0,2.0,50.0,67
2256,Domlur,3,1800.0,3.0,150.0,71
2257,Abbigere,2,1005.0,2.0,39.59,10
2258,Whitefield,2,1320.0,2.0,95.0,224
2259,Anandapura,4,1475.0,2.0,50.0,15
2260,Kudlu Gate,3,1707.0,2.0,99.745,148
2261,others,2,1110.0,2.0,51.0,230
2262,others,2,1300.0,2.0,54.0,230
2263,Electronic City,2,1128.0,2.0,65.35,74
2264,Jakkur,2,1452.19,2.0,100.0,110
2265,Banashankari,3,2600.0,4.0,135.0,26
2266,Sanjay nagar,2,630.0,1.0,35.0,191
